config_id,map_id,mode_id,map_config_name,map_resid,mapab_tex_ref,mapab_tex_ref_ios,waiting_map_name,waitingisland_gametime,waiting_map_resid,bin_file,mini_map_lockey,map_bg_sprite,mode_map_resid,mode_dep_ab,nav_type,nav_name,is_open,big_map_bg_sprite,show_position_res,isnojumping,isno_waitingmap,is_no_safezone,opening_sound_ID,map_dlc_config_res
地图配置id,地图ID,模式id,地图配置,地图资源ID,地图包贴图引用数据(安卓),地图包贴图引用数据(IOS),等待房间配置,出生岛等待时间,等待房间资源ID,Bin文件夹下bin文件名,小地图资源的LocKey,模式选择背景,Mode地图资源id,模式依赖的ab包,NavMesh Type：0-No Nav Mesh，1-Const NavMesh，2-Dynamic NavMesh,NavMesh文件名称,是否开放,模式选择背景大图,PC结算场景,是否跳过跳伞,是否跳过出生岛,是否没有毒圈,开场播放的语音,
1001,1,1,PVP_Paradise,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_BATTLEROYALE,,1,PVP_Paradise,true,,UI_WINNER_SHOWCASE_POSLIST_PARADISE,,,,SOUND_OPENING_BR,
3001,3,1,PVP_Azores,SCENE_PVP_AZORES,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Azores,TXT_MINIMAP_2_RESNAME,Icon_Map_Azores,SCENE_PVP_AZORES_MODE_BATTLEROYALE,,1,PVP_Azores,true,,UI_WINNER_SHOWCASE_POSLIST_AZORES,,,,SOUND_OPENING_BR,
4001,4,1,PVP_Sonoran,SCENE_PVP_SONORAN,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Sonoran,TXT_MINIMAP_4_RESNAME,Icon_Map_Sonoran,SCENE_PVP_SONORAN_MODE_BATTLEROYALE,,1,PVP_Sonoran,true,,UI_WINNER_SHOWCASE_POSLIST_SONORAN,,,,SOUND_OPENING_BR,INGAME_SONORAN_GRASSINST_OBJ;INGAME_SONORAN_GRASSCELL_OBJ
5001,5,1,PVP_NeoParadise,SCENE_PVP_NEOPARADISE,PVP_NeoParadise_ABSceneTexRefInfo,PVP_NeoParadise_ABSceneTexRefInfo_IOS,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_NeoParadise,TXT_MINIMAP_4_RESNAME,Icon_Map_NeoParadise,SCENE_PVP_NEOPARADISE_MODE_BATTLEROYALE,,1,PVP_NeoParadise,true,,UI_WINNER_SHOWCASE_POSLIST_NEOPARADISE,,,,SOUND_OPENING_BR,INGAME_NEOPARADISE_GRASSINST_OBJ;INGAME_NEOPARADISE_GRASSCELL_OBJ
1002,1,2,PVP_Paradise_Speed,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_SPEEDROYALE,,1,PVP_Paradise,true,,UI_WINNER_SHOWCASE_POSLIST_PARADISE,,,,,
1003,1,3,PVP_Paradise_Fate,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise_Fate,SCENE_PVP_PARADISE_MODE_FATEROYALE,,1,PVP_Paradise,true,,UI_WINNER_SHOWCASE_POSLIST_PARADISE,,,,,
3003,3,3,PVP_Azores_Fate,SCENE_PVP_AZORES,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Azores,TXT_MINIMAP_2_RESNAME,Icon_Map_Azores_Fate,SCENE_PVP_AZORES_MODE_FATEROYALE,,1,PVP_Azores,true,,UI_WINNER_SHOWCASE_POSLIST_AZORES,,,,,
1007,1,7,PVP_Paradise_ZombieGround,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise_Speed,SCENE_PVP_PARADISE_MODE_ZOMBIEGROUND,,1,PVP_Paradise,true,,UI_WINNER_SHOWCASE_POSLIST_PARADISE,,,,,
1012,1,12,PVP_Paradise_Purge,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_BATTLEROYALE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,,,,,
1013,1,13,PVP_Paradise_DaddyPower,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_BATTLEROYALE,,1,PVP_Paradise,true,,UI_WINNER_SHOWCASE_POSLIST_PARADISE,,,,,
1014,1,14,PVP_Paradise_HookBrick,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_BATTLEROYALE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,,,,,
1015,1,15,PVP_Paradise_CS,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,25,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_CS,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
5015,5,15,PVP_NeoParadise_CS,SCENE_PVP_NEOPARADISE,PVP_NeoParadise_ABSceneTexRefInfo,PVP_NeoParadise_ABSceneTexRefInfo_IOS,PVP_WaitingIsland,25,SCENE_BATTLE_WAITING,PVP_NeoParadise,TXT_MINIMAP_4_RESNAME,Icon_Map_NeoParadise,SCENE_PVP_NEOPARADISE_MODE_CS,,1,PVP_NeoParadise,true,,UI_WINNER_SHOWCASE_POSLIST_NEOPARADISE,true,true,,,INGAME_NEOPARADISE_GRASSINST_OBJ;INGAME_NEOPARADISE_GRASSCELL_OBJ
4015,4,15,PVP_Sonoran_CS,SCENE_PVP_SONORAN,,,PVP_WaitingIsland,25,SCENE_BATTLE_WAITING,PVP_Sonoran,TXT_MINIMAP_4_RESNAME,Icon_Map_Sonoran,SCENE_PVP_SONORAN_MODE_CS,,1,PVP_Sonoran,true,,UI_INTROSHOW_SONORAN,true,true,,,INGAME_SONORAN_GRASSINST_OBJ;INGAME_SONORAN_GRASSCELL_OBJ
1016,1,16,PVP_Paradise_BigHead,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_BATTLEROYALE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,,,,,
1017,1,17,PVP_Paradise_SprayandPray,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise_Fate,SCENE_PVP_PARADISE_MODE_FATEROYALE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,,,,,
1018,1,18,PVP_Paradise_Explosivejump,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise_Fate,SCENE_PVP_PARADISE_MODE_FATEROYALE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,,,,,
1019,1,19,PVP_Paradise_Nighthunter,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise_Fate,SCENE_PVP_PARADISE_MODE_FATEROYALE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,,,,,
1020,1,20,PVP_Paradise_Sharpshooter,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise_Fate,SCENE_PVP_PARADISE_MODE_FATEROYALE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,,,,,
1022,1,22,PVP_Paradise_TK,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_TK,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
1201,1,201,PVP_Paradise_RoomFate,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise_Fate,SCENE_PVP_PARADISE_MODE_FATEROYALE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,,,,,
7023,7,23,PVP_AlphaIsland_Training,SCENE_PVP_ALPHAISLAND,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_AlphaIsland_Training,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,,,1,PVP_AlphaIsland,true,,UI_INTROSHOW_PARADISE,true,true,true,,
1024,1,24,PVP_Paradise_TDM,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_TDM,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
1026,1,26,PVP_Paradise_ArmsRace,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_ARMSRACE,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
1027,1,27,PVP_Paradise_Bomb,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_BOMB,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
1028,1,28,PVP_Paradise_Token,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_TOKEN,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
1030,1,30,PVP_Paradise_Reaper,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_REAPER,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
1031,1,31,PVP_Paradise_AttackOnHead,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_ATTACKONHEAD,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
1029,1,29,PVP_Paradise_Escort,SCENE_PVP_PARADISE,,,PVP_WaitingIsland,,SCENE_BATTLE_WAITING,PVP_Paradise,TXT_MINIMAP_1_RESNAME,Icon_Map_Paradise,SCENE_PVP_PARADISE_MODE_ESCORT,,1,PVP_Paradise,true,,UI_INTROSHOW_PARADISE,true,true,,,
